id,guid,is_active,is_deleted,created_by,created_date,last_modified_by,last_modified_date,name,city_id
112,dd5a417a-1dfb-4634-b2d5-eef13e505e94,t,f,3965,2013-02-25 15:28:11,GAURAV,2020-01-22 00:07:47.569,KODIGENAHALLI,6
92,240abb1d-7e23-419c-926b-55c8eeb552db,t,f,3965,2013-02-25 14:51:15,GAURAV,2020-01-22 00:08:03.691,CHAKALABBI,12
96,a58e4159-39a7-4dd4-9136-c9d5f331338d,t,t,3965,2013-02-25 14:59:21,GAURAV,2020-01-22 00:08:15.968,TEJASWINAGAR,12
94,22749731-1e27-4de0-a7d9-6f681575dd83,t,f,3965,2013-02-25 14:53:19,GAURAV,2020-01-22 00:08:20.804,DEVARAHUBBALLI,12
113,ab31952a-c028-4efc-be22-b8c69a7b3198,t,f,3965,2013-02-25 15:30:09,GAURAV,2020-01-22 00:08:37.115,KODIGAETHIMMNAHALLI,6
35,0791090e-2e3b-46e9-8163-8b9bb5c0dabc,t,f,3965,2013-02-14 19:25:42,GAURAV,2020-01-22 00:10:39.784,GANDHINAGARA,11
101,71413dd8-bb34-48c1-8dbf-607100286798,t,f,3965,2013-02-25 15:10:15,GAURAV,2020-01-22 00:11:01.007,AMRUTHUR,6
71,d36ab74c-f1c9-4938-97e8-e47d99c13249,t,f,3965,2013-02-16 10:45:03,GAURAV,2020-01-22 00:49:26.024,BHARATMILL,9
104,1afc2a90-956b-40f6-9d8d-801222e9794b,t,f,3965,2013-02-25 15:13:19,SANGEETA,2020-04-19 09:06:08.257,BELLAVI,6
175,2219d9c9-b48b-4ede-94a8-f0a7b2e50252,t,f,PAWAN,2020-07-25 07:19:20.221,PAWAN,2020-07-25 07:19:20.221,BALAGARE,5
176,0b5de0f0-43c7-46d6-96d2-e250c06ad0f5,t,f,PAWAN,2020-07-25 07:20:03.539,PAWAN,2020-07-25 07:20:03.539,K R PURAM,5
